,Unid. da Federação,Renda per capita,Tem telefone móvel celular,Para acessar à Internet utiliza-se telefone celular,Tem microcomputador,Para acessar à Internet utiliza-se microcomputador,Tem tablet,Para acessar à Internet utiliza-se tablet,Tem acesso à Internet no próprio domicilio,O acesso à Internet é feito através de sinal de rede celular 3G ou 4G,O acesso à Internet é feito através de conexão discada por linha telefônica,O acesso à Internet é feito por banda larga
65225,MG,583.0,Sim,Sim,Não,Não,Não,Não,Sim,Sim,Não,Não
65229,MG,800.0,Sim,Sim,Não,Não,Não,Não,Sim,Sim,Não,Não
65230,MG,572.0,Sim,Sim,Não,Não,Não,Não,Sim,Sim,Não,Não
65232,MG,625.0,Sim,Sim,Não,Não,Não,Não,Sim,Sim,Não,Não
65233,MG,397.0,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Sim
65234,MG,1291.0,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Sim
65236,MG,1500.0,Sim,Sim,Não,Não,Não,Não,Sim,Sim,Não,Não
65237,MG,880.0,Sim,Não,Sim,Sim,Não,Não,Sim,Não,Não,Sim
65241,MG,1048.0,Sim,Não,Sim,Sim,Não,Não,Sim,Não,Não,Sim
65242,MG,466.0,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Não
65245,MG,2000.0,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Sim
65248,MG,684.0,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim
65249,MG,1014.0,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Sim
65250,MG,572.0,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Sim
65251,MG,2538.0,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Sim
65252,MG,445.0,Sim,Sim,Sim,Não,Não,Não,Sim,Sim,Não,Não
65254,MG,3666.0,Sim,Sim,Não,Não,Não,Não,Sim,Sim,Não,Não
65257,MG,925.0,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Sim,Não
65258,MG,1262.0,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Sim
65259,MG,323.0,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Não,Sim
65260,MG,361.0,Sim,Sim,Não,Não,Não,Não,Sim,Sim,Não,Não
65261,MG,306.0,Sim,Sim,Não,Não,Não,Não,Sim,Sim,Não,Não
65263,MG,174.0,Sim,Sim,Não,Não,Não,Não,Sim,Sim,Não,Não
65264,MG,566.0,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Sim
65265,MG,984.0,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Sim
65268,MG,1300.0,Sim,Sim,Não,Não,Não,Não,Sim,Sim,Não,Não
65269,MG,900.0,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Não
65271,MG,225.0,Sim,Não,Sim,Sim,Não,Não,Sim,Não,Não,Sim
65278,MG,400.0,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Não
